"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,581,3,995,285,94,3898,724,231,849,65,463,353,42,289,70,16,1369,60,18,389,968,389,384,3019,2,168,1335,4508,116,198,162,83,116,64,961,1690,84,581
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491,111,904,195,14,4006,633,141,900,117,571,263,66,199,178,92,1477,168,90,497,1076,497,294,3127,110,276,1245,4616,224,306,270,25,224,44,871,1600,192,491
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584,414,289,486,4479,143,350,1253,590,1044,228,539,292,651,565,1950,641,563,970,1549,970,197,3600,583,749,754,5088,696,779,743,498,696,517,400,1109,665,0
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,997,288,97,3895,726,234,846,68,460,356,45,292,67,18,1367,58,20,386,965,386,387,3017,1,165,1338,4505,113,195,159,86,113,67,964,1693,81,584
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,702,900,4785,271,763,1610,1038,1457,641,952,705,1064,979,2364,1055,977,1384,1963,1384,611,4014,996,1162,450,5502,1110,1192,1157,911,1110,930,219,805,1079,414
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,4183,431,54,1134,294,748,61,243,3,355,269,1655,345,267,674,1253,674,92,3304,287,453,1043,4793,401,483,447,202,401,221,669,1398,369,289
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3992,629,137,943,103,557,259,52,195,164,79,1464,155,77,483,1062,483,290,3114,96,262,1241,4602,210,292,256,11,210,30,867,1596,178,486
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4621,4129,3796,3963,3435,4251,3940,4187,3828,3913,2608,3837,3915,3509,3155,3509,4282,5065,3896,3730,5207,6404,3782,3700,3736,3981,3782,3962,4566,5209,3814,4479
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492,1339,733,1186,370,681,434,794,708,2093,784,706,1113,1692,1113,340,3743,725,891,612,5231,839,921,886,640,839,659,387,966,808,143
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080,240,694,122,189,58,301,216,1601,292,214,620,1199,620,153,3251,233,399,1104,4739,347,429,393,148,347,167,730,1459,315,350
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,914,870,1202,891,1138,779,864,1268,788,866,797,811,797,1233,2570,847,681,1951,4058,733,691,687,932,733,913,1636,2306,765,1253
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,528,362,51,298,135,50,1435,126,48,455,1034,455,393,3085,67,233,1344,4573,181,263,228,92,181,73,896,1699,150,590
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,816,505,752,393,478,907,402,481,74,505,74,847,2557,461,295,1798,4045,347,265,301,546,347,527,1424,2153,379,1044
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311,64,423,338,1723,414,336,742,1321,742,31,3373,355,521,982,4861,469,551,515,270,469,289,608,1337,437,228
